Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Paced walking duration (ms)
10/19/2024,103,1953.974887,6508.025285,64,64,15.53565311,76.87845612,15.53757286,76.8864212,0.58833336,1.462569941,0.284674418,9473,,,,,,5601628,,
10/18/2024,56,1789.700942,4255.962843,44,43,,,,,0.383278758,2.973316234,0.253043927,6279,,,,,,2959080,,
10/17/2024,98,1975.833926,4782.051064,69,69,15.53491211,76.88160706,15.54475689,76.89907837,0.528381365,2.46802951,0.263587424,7116,,,,1592726,,4251644,,
10/16/2024,20,1646.888196,740.9930519,,,,,,,0.688336206,1.3026574,0.274130921,1370,,,,,,661759,,
10/15/2024,17,1644.186774,715.0031219,,,,,,,0.371510579,0.871997914,0.253043927,1400,,,,,,618304,,
10/14/2024,63,1842.05644,4621.436732,49,49,15.53412437,76.88150024,15.53412437,76.88150024,0.612943849,1.417687945,0.284674418,6700,,,,,,3801282,,
10/13/2024,79,1894.715646,5364.535599,51,51,15.53626347,76.88632202,15.53626347,76.88632202,0.635341788,1.381958536,0.274130921,7948,,,,,,4648371,,
10/12/2024,45,1711.556886,2291.227306,12,12,15.53553104,76.87733459,15.53579998,76.88140869,0.411799004,1.342415658,0.262891313,3626,,,,,,1702035,,
10/11/2024,25,1682.333255,959.2921012,,,,,,,0.498388984,1.297748446,0.270217738,1890,,,,,,1231937,,
10/10/2024,13,1640.329522,520.4106659,,,,,,,0.441373426,1.098339694,0.253043927,1083,,,,,,556254,,
10/9/2024,23,1643.641911,928.7296211,1,1,,,,,0.446504337,1.291752077,0.285817693,1720,,,,,,609538,,
